feature	importance
mlm_mean	0.33486181
mlm_std	0.13091731
esm1b_mlm	0.060515776
blosum62	0.050127625
mlm_max	0.033608466
esm1v_mlm	0.024137113
hydrophobicity_change	0.022065898
is_proline_change	0.016677294
protbert_mlm	0.015152048
prott5_cos	0.014664334
grantham	0.0143462075
esm2_cos	0.014241253
esm2_mlm	0.01324382
log_protein_length	0.0131588485
ntv2_cos	0.012478604
protbert_cos	0.012248429
ankh_cos	0.011106595
prott5_mlm	0.011085992
is_cysteine_change	0.010687171
esm1b_cos	0.01065209
esm3_mlm	0.010499886
mut_aa_idx	0.01033152
charge_change	0.0103003215
wt_aa_idx	0.01001596
log_position	0.009589522
ntv2_mlm	0.008952043
ankh_mlm	0.008727651
mlm_esm1b_protbert_diff	0.008388354
mlm_esm1b_esm2_diff	0.008258324
esm1v_cos	0.008256187
normalized_position	0.00795423
mlm_min	0.007414373
hyenadna_cos	0.00739606
dnabert1_mlm	0.0073829484
cos_mean	0.0073171216
genalm_cos	0.0072896383
genalm_mlm	0.007272975
dnabert2_mlm	0.007227993
dnabert1_cos	0.007174774
cos_std	0.0071418183
dnabert2_cos	0.007131683
