Model,Gene,N_variants,AUROC
ESM1b,KCNQ2,199,0.575993091537133
ESM1b,RPL36A-HNRNPH2,193,0.8177083333333334
ESM1b,LDLR,115,0.6101190476190477
ESM1b,SPI1,111,0.6785714285714286
ESM1b,STXBP1,69,0.9300567107750473
ESM1b,PTPN11,60,0.576271186440678
ESM1b,TP53,57,0.3085106382978724
ESM1b,PTEN,56,0.018518518518518517
ESM2,KCNQ2,199,0.625215889464594
ESM2,RPL36A-HNRNPH2,193,0.5885416666666666
ESM2,LDLR,115,0.6666666666666667
ESM2,SPI1,111,0.41895604395604397
ESM2,STXBP1,69,0.5822306238185255
ESM2,PTPN11,60,0.5932203389830508
ESM2,TP53,57,0.44042553191489364
ESM2,PTEN,56,0.35185185185185186
ESM3,KCNQ2,199,0.7642487046632125
ESM3,RPL36A-HNRNPH2,193,0.9583333333333334
ESM3,LDLR,115,0.9791666666666667
ESM3,SPI1,111,0.9711538461538463
ESM3,STXBP1,69,0.9366729678638941
ESM3,PTPN11,60,0.7966101694915254
ESM3,TP53,57,0.3680851063829787
ESM3,PTEN,56,0.7777777777777778
ProtT5,KCNQ2,199,0.30483592400690845
ProtT5,RPL36A-HNRNPH2,193,0.203125
ProtT5,LDLR,115,0.6755952380952381
ProtT5,SPI1,111,0.4684065934065934
ProtT5,STXBP1,69,0.7967863894139887
ProtT5,PTPN11,60,0.4915254237288136
ProtT5,TP53,57,0.3148936170212766
ProtT5,PTEN,56,0.09259259259259259
ESM1b-MLM,KCNQ2,199,0.9810017271157168
ESM1b-MLM,RPL36A-HNRNPH2,193,0.953125
ESM1b-MLM,LDLR,115,0.9821428571428571
ESM1b-MLM,SPI1,111,0.868131868131868
ESM1b-MLM,STXBP1,69,0.9404536862003781
ESM1b-MLM,PTPN11,60,0.7966101694915254
ESM1b-MLM,TP53,57,0.9957446808510638
ESM1b-MLM,PTEN,56,1.0
DNABERT-2,KCNQ2,199,0.5785837651122626
DNABERT-2,RPL36A-HNRNPH2,193,0.5885416666666666
DNABERT-2,LDLR,114,0.7102102102102101
DNABERT-2,SPI1,111,0.396978021978022
DNABERT-2,STXBP1,69,0.522211720226843
DNABERT-2,PTPN11,60,0.8559322033898304
DNABERT-2,PTEN,56,0.24074074074074073
HyenaDNA,KCNQ2,199,0.4438687392055267
HyenaDNA,RPL36A-HNRNPH2,193,0.390625
HyenaDNA,LDLR,114,0.7492492492492493
HyenaDNA,SPI1,111,0.32211538461538464
HyenaDNA,STXBP1,69,0.5548204158790171
HyenaDNA,PTPN11,60,0.9067796610169492
HyenaDNA,PTEN,56,0.5555555555555556
NT-v2,KCNQ2,199,0.4317789291882556
NT-v2,RPL36A-HNRNPH2,193,0.53125
NT-v2,LDLR,114,0.6246246246246246
NT-v2,SPI1,111,0.36057692307692313
NT-v2,STXBP1,69,0.5311909262759925
NT-v2,PTPN11,60,0.847457627118644
NT-v2,PTEN,56,0.09259259259259259
ProtBERT,KCNQ2,199,0.8816925734024179
ProtBERT,RPL36A-HNRNPH2,193,0.875
ProtBERT,LDLR,115,0.8095238095238095
ProtBERT,SPI1,111,0.8818681318681318
ProtBERT,STXBP1,69,0.8279773156899811
ProtBERT,PTPN11,60,1.0
ProtBERT,TP53,57,0.5191489361702127
ProtBERT,PTEN,56,0.8518518518518519
ESM-1v,KCNQ2,199,0.7754749568221071
ESM-1v,RPL36A-HNRNPH2,193,0.078125
ESM-1v,LDLR,115,0.6398809523809524
ESM-1v,SPI1,111,0.2239010989010989
ESM-1v,STXBP1,69,0.7523629489603024
ESM-1v,PTPN11,60,0.9830508474576272
ESM-1v,TP53,57,0.5234042553191489
ESM-1v,PTEN,56,0.2222222222222222
Ankh,RPL36A-HNRNPH2,193,0.796875
Ankh,SPI1,111,0.3791208791208791
Ankh,LDLR,91,0.011111111111111112
Ankh,TP53,57,0.3148936170212766
Ankh,PTEN,56,0.1111111111111111
Ankh,PTPN11,56,0.3090909090909091
DNABERT-1,KCNQ2,199,0.36960276338514686
DNABERT-1,RPL36A-HNRNPH2,193,0.6458333333333334
DNABERT-1,LDLR,114,0.5915915915915917
DNABERT-1,SPI1,111,0.44505494505494503
DNABERT-1,STXBP1,69,0.4881852551984877
DNABERT-1,PTPN11,60,0.8983050847457628
DNABERT-1,PTEN,56,0.6296296296296297
Gena-LM,KCNQ2,199,0.8134715025906736
Gena-LM,RPL36A-HNRNPH2,193,0.010416666666666666
Gena-LM,LDLR,114,0.7267267267267268
Gena-LM,SPI1,111,0.3399725274725275
Gena-LM,STXBP1,69,0.4763705103969754
Gena-LM,PTPN11,60,0.8220338983050848
Gena-LM,PTEN,56,0.9351851851851851
